row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,svc_code,svc_code_type,svc_code_desc,svc_code_ctg,svc_code_ctg_desc,clm_cnt,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
19210571,2019,11,Big Stone,MEDICARE,5,75 years and older,M,14,73562,CPT/HCPCS,X-RAY EXAM OF KNEE 3,226,Radiology - Diagnostic (other),33,168,"$1,506.10 ",$107.57 ,$151.16 ,"$1,065.85 ",$76.13 ,$75.54 ,$440.25 ,$31.44 ,$13.39 
19213907,2019,13,Blue Earth,COMMERCIAL,2,19 - 44 years,F,86,82950,CPT/HCPCS,GLUCOSE TEST,233,Laboratory - Chemistry and hematology,89,"1,000","$2,976.64 ",$34.61 ,$19.32 ,"$2,816.09 ",$32.74 ,$19.32 ,$160.55 ,$1.86 ,$0.00 
19216859,2019,13,Blue Earth,COMMERCIAL,3,45 - 64 years,F,68,82607,CPT/HCPCS,VITAMIN B-12,233,Laboratory - Chemistry and hematology,76,796,"$7,214.66 ",$106.09 ,$110.29 ,"$4,948.72 ",$72.77 ,$100.42 ,"$2,265.94 ",$33.32 ,$3.94 
19221923,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,49,93010,CPT/HCPCS,ELECTROCARDIOGRAM REPORT,202,Electrocardiogram,63,556,$322.19 ,$6.57 ,$5.80 ,$322.19 ,$6.57 ,$5.80 ,$0.00 ,$0.00 ,$0.00 
19224395,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,38,11102,CPT/HCPCS,TANGNTL BX SKIN SINGLE LES,173,Skin and subcutaneous tissue - Diagnostic (other),39,414,"$2,789.95 ",$73.41 ,$72.06 ,"$2,712.55 ",$71.38 ,$72.06 ,$77.40 ,$2.03 ,$0.00 
19226315,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,21,H2032,CPT/HCPCS,ACTIVITY THERAPY PER 15 MINUTES,218,"Psychological and psychiatric evaluation, therapy","1,623",251,"$167,486.40 ","$7,975.54 ","$5,435.03 ","$167,368.00 ","$7,969.90 ","$5,435.03 ",$118.40 ,$5.63 ,$0.00 
19229867,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,52,83970,CPT/HCPCS,ASSAY OF PARATHORMONE,233,Laboratory - Chemistry and hematology,68,609,"$2,915.26 ",$56.06 ,$48.58 ,"$2,915.26 ",$56.06 ,$48.58 ,$0.00 ,$0.00 ,$0.00 
19232987,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,22,A7037,CPT/HCPCS,TUBING USED W/POS ARWAY PRESS DEVC,243,DME and supplies,39,264,$827.46 ,$37.61 ,$29.95 ,$827.46 ,$37.61 ,$29.95 ,$0.00 ,$0.00 ,$0.00 
19237619,2019,13,Blue Earth,MEDICARE,2,19 - 44 years,M,76,250,REV,Pharmacy,50008,Pharmacy and IV services,216,899,"$212,298.09 ","$2,793.39 ",$667.21 ,"$176,410.67 ","$2,321.19 ",$511.31 ,"$35,887.42 ",$472.20 ,$163.92 
19241891,2019,13,Blue Earth,MEDICARE,3,45 - 64 years,M,35,73030,CPT/HCPCS,X-RAY EXAM OF SHOULDER,226,Radiology - Diagnostic (other),72,406,"$3,138.82 ",$89.68 ,$30.39 ,"$2,042.74 ",$58.36 ,$24.30 ,"$1,096.08 ",$31.31 ,$6.09 
19244675,2019,13,Blue Earth,MEDICARE,4,65 - 74 years,F,15,82150,CPT/HCPCS,ASSAY OF AMYLASE,233,Laboratory - Chemistry and hematology,30,171,$205.64 ,$13.70 ,$7.06 ,$205.64 ,$13.70 ,$7.06 ,$0.00 ,$0.00 ,$0.00 
19246595,2019,13,Blue Earth,MEDICARE,4,65 - 74 years,M,384,370,REV,Anesthesia,50005,Anesthesia services,558,"4,554","$27,374.51 ",$71.28 ,$0.00 ,"$25,942.64 ",$67.55 ,$0.00 ,"$1,431.87 ",$3.72 ,$0.00 
19248971,2019,13,Blue Earth,MEDICARE,4,65 - 74 years,M,76,J1885,CPT/HCPCS,INJ KETOROLAC TROMETHAMINE 15 MG,240,"Medications (injections, infusions, other forms)",125,899,$43.86 ,$0.57 ,$0.00 ,$40.74 ,$0.53 ,$0.00 ,$3.12 ,$0.04 ,$0.00 
19251731,2019,13,Blue Earth,MEDICARE,5,75 years and older,F,54,G0101,CPT/HCPCS,CERV/VAG CANCR SCR;PELV&CLN BRST EX,130,Female organ procedures - Diagnostic (other),55,648,"$1,721.64 ",$31.88 ,$38.66 ,"$1,721.64 ",$31.88 ,$38.66 ,$0.00 ,$0.00 ,$0.00 
19254179,2019,13,Blue Earth,MEDICARE,5,75 years and older,M,139,96374,CPT/HCPCS,THER/PROPH/DIAG INJ IV PUSH,231,Therapeutic procedures - Other,281,"1,602","$31,640.19 ",$227.62 ,$0.00 ,"$26,790.36 ",$192.73 ,$0.00 ,"$4,849.83 ",$34.89 ,$0.00 
19258043,2019,15,Brown,COMMERCIAL,2,19 - 44 years,M,32,93005,CPT/HCPCS,ELECTROCARDIOGRAM TRACING,202,Electrocardiogram,34,370,"$6,895.77 ",$215.49 ,$229.62 ,"$2,588.72 ",$80.89 ,$4.50 ,"$4,307.05 ",$134.59 ,$158.22 
19260875,2019,15,Brown,COMMERCIAL,3,45 - 64 years,M,32,96361,CPT/HCPCS,HYDRATE IV INFUSION ADD-ON,231,Therapeutic procedures - Other,88,371,"$8,487.76 ",$265.24 ,$130.63 ,"$7,085.14 ",$221.41 ,$95.87 ,"$1,402.62 ",$43.83 ,$0.00 
19263971,2019,15,Brown,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,75,120,REV,Room-Board/Semi-pvt,50001,Room and board (non-nursery) services,87,823,"$495,882.26 ","$6,611.76 ","$2,939.99 ","$495,632.26 ","$6,608.43 ","$2,939.99 ",$250.00 ,$3.33 ,$0.00 
19266707,2019,15,Brown,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,164,272,REV,Sterile Supply,50007,Medical and surgical supplies,529,"1,852","$25,800.77 ",$157.32 ,$11.53 ,"$25,778.06 ",$157.18 ,$11.53 ,$22.71 ,$0.13 ,$0.00 
19271003,2019,15,Brown,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,29,T2031,CPT/HCPCS,ASSISTED LIVING WAIVER; PER DIEM,237,Ancillary services,"2,789",340,"$175,356.25 ","$6,046.76 ","$2,952.90 ","$170,472.41 ","$5,878.35 ","$2,900.98 ","$4,883.84 ",$168.40 ,$6.40 
19276547,2019,15,Brown,MEDICARE,4,65 - 74 years,F,23,76536,CPT/HCPCS,US EXAM OF HEAD AND NECK,192,Ultrasound - Head and neck - Diagnostic,42,274,"$5,128.31 ",$222.97 ,$144.01 ,"$3,302.19 ",$143.57 ,$114.82 ,"$1,826.12 ",$79.39 ,$29.19 
19279571,2019,15,Brown,MEDICARE,4,65 - 74 years,M,31,94726,CPT/HCPCS,PULM FUNCT TST PLETHYSMOGRAP,38,Lung and bronchus procedures - Diagnostic (other),58,372,"$1,174.83 ",$37.89 ,$12.41 ,$904.90 ,$29.19 ,$10.67 ,$269.93 ,$8.70 ,$2.48 
19281827,2019,15,Brown,MEDICARE,5,75 years and older,F,91,92136,CPT/HCPCS,OPHTHALMIC BIOMETRY,220,Ophthalmologic/otologic diagnosis and treatment,169,"1,092","$6,747.69 ",$74.15 ,$71.36 ,"$5,528.17 ",$60.74 ,$57.08 ,"$1,219.52 ",$13.40 ,$14.29 
19284323,2019,15,Brown,MEDICARE,5,75 years and older,M,61,93280,CPT/HCPCS,PM DEVICE PROGR EVAL DUAL,203,Electrographic cardiac monitoring,132,709,"$6,558.33 ",$107.51 ,$77.30 ,"$4,681.23 ",$76.74 ,$56.43 ,"$1,877.10 ",$30.77 ,$20.00 
19289771,2019,17,Carlton,COMMERCIAL,3,45 - 64 years,F,11,390,REV,Blood/Admin/Stor,50010,Blood and blood components,12,130,"$3,310.02 ",$300.91 ,$0.00 ,"$3,310.02 ",$300.91 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19295531,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,61,300,REV,Laboratory (Lab),50009,Laboratory and pathology services,68,463,"$11,218.53 ",$183.91 ,$0.00 ,"$11,218.53 ",$183.91 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19298555,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,64,70450,CPT/HCPCS,CT HEAD/BRAIN W/O DYE,177,CT scan - Head,139,713,"$27,118.31 ",$423.72 ,$264.15 ,"$27,087.51 ",$423.24 ,$264.15 ,$30.80 ,$0.48 ,$0.00 
19300619,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,11,76882,CPT/HCPCS,US LMTD JT/NONVASC XTR STRUX,197,Ultrasound - Diagnostic (other),17,124,$689.41 ,$62.67 ,$22.86 ,$689.41 ,$62.67 ,$22.86 ,$0.00 ,$0.00 ,$0.00 
19303115,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,65,96361,CPT/HCPCS,HYDRATE IV INFUSION ADD-ON,231,Therapeutic procedures - Other,176,749,"$21,129.53 ",$325.06 ,$155.92 ,"$21,054.53 ",$323.91 ,$145.50 ,$75.00 ,$1.15 ,$0.00 
19306595,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,35,80053,CPT/HCPCS,COMPREHEN METABOLIC PANEL,233,Laboratory - Chemistry and hematology,61,418,"$5,607.94 ",$160.22 ,$14.20 ,"$5,607.94 ",$160.22 ,$14.20 ,$0.00 ,$0.00 ,$0.00 
19311875,2019,17,Carlton,MEDICARE,3,45 - 64 years,M,12,921,REV,Peri Vascul Lab,50009,Laboratory and pathology services,13,137,$11.78 ,$0.98 ,$0.00 ,$11.78 ,$0.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19315403,2019,17,Carlton,MEDICARE,4,65 - 74 years,F,20,93296,CPT/HCPCS,REM INTERROG EVL PM/IDS,203,Electrographic cardiac monitoring,57,234,"$1,444.97 ",$72.24 ,$72.74 ,"$1,045.81 ",$52.29 ,$57.94 ,$399.16 ,$19.95 ,$14.80 
19318619,2019,17,Carlton,MEDICARE,4,65 - 74 years,M,21,G0121,CPT/HCPCS,COLOREC CNCR SCR;COLNSCPY NO HI RSK,76,Colonoscopy and biopsy,47,252,"$8,343.53 ",$397.31 ,$181.36 ,"$8,283.53 ",$394.45 ,$172.11 ,$60.00 ,$2.85 ,$0.00 
19320923,2019,17,Carlton,MEDICARE,5,75 years and older,F,407,99397,CPT/HCPCS,PER PM REEVAL EST PAT 65+ YR,310,Office/outpatient services - Preventive visits,417,"4,870","$70,980.70 ",$174.39 ,$136.68 ,"$70,849.23 ",$174.07 ,$136.68 ,$131.47 ,$0.32 ,$0.00 
19324499,2019,19,Carver,COMMERCIAL,1,18 years and under,F,142,300,REV,Laboratory (Lab),50009,Laboratory and pathology services,151,"1,018","$16,150.25 ",$113.73 ,$0.00 ,"$15,983.40 ",$112.55 ,$0.00 ,$166.85 ,$1.17 ,$0.00 
19327091,2019,19,Carver,COMMERCIAL,1,18 years and under,M,637,92552,CPT/HCPCS,PURE TONE AUDIOMETRY AIR,220,Ophthalmologic/otologic diagnosis and treatment,647,"7,438","$46,330.17 ",$72.73 ,$76.86 ,"$45,544.04 ",$71.49 ,$76.86 ,$786.13 ,$1.23 ,$0.00 
19329203,2019,19,Carver,COMMERCIAL,2,19 - 44 years,F,33,86703,CPT/HCPCS,HIV-1/HIV-2 1 RESULT ANTBDY,235,Laboratory - Other,34,391,$910.28 ,$27.58 ,$20.68 ,$880.85 ,$26.69 ,$20.68 ,$29.43 ,$0.89 ,$0.00 
19331363,2019,19,Carver,COMMERCIAL,2,19 - 44 years,M,12,84270,CPT/HCPCS,ASSAY OF SEX HORMONE GLOBUL,233,Laboratory - Chemistry and hematology,22,135,$846.75 ,$70.56 ,$45.59 ,$447.35 ,$37.27 ,$28.15 ,$399.40 ,$33.28 ,$16.43 
19333571,2019,19,Carver,COMMERCIAL,3,45 - 64 years,F,15,72158,CPT/HCPCS,MRI LUMBAR SPINE W/O & W/DYE,198,MRI (magnetic resonance imaging),20,180,"$14,230.82 ",$948.72 ,$779.62 ,"$8,375.42 ",$558.36 ,$701.94 ,"$5,855.40 ",$390.36 ,$0.00 
19335107,2019,19,Carver,COMMERCIAL,3,45 - 64 years,F,76,E0601,CPT/HCPCS,CONTINUOUS POS AIRWAY PRESSURE DEVC,243,DME and supplies,370,860,"$36,479.92 ",$479.99 ,$441.45 ,"$25,155.44 ",$330.99 ,$230.68 ,"$11,324.48 ",$149.00 ,$71.00 
19337723,2019,19,Carver,COMMERCIAL,3,45 - 64 years,M,31,93798,CPT/HCPCS,CARDIAC REHAB/MONITOR,215,Physical/occupational/speech therapy - Other,449,371,"$120,494.39 ","$3,886.91 ","$3,336.27 ","$114,345.14 ","$3,688.55 ","$3,127.32 ","$6,149.25 ",$198.36 ,$0.00 
19342451,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,262,90791,CPT/HCPCS,PSYCH DIAGNOSTIC EVALUATION,218,"Psychological and psychiatric evaluation, therapy",364,"3,047","$45,956.20 ",$175.40 ,$138.20 ,"$45,820.35 ",$174.88 ,$136.43 ,$135.85 ,$0.51 ,$0.00 
19345451,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,32,73721,CPT/HCPCS,MRI JNT OF LWR EXTRE W/O DYE,198,MRI (magnetic resonance imaging),61,375,"$7,137.04 ",$223.03 ,$171.64 ,"$6,977.04 ",$218.03 ,$171.04 ,$160.00 ,$5.00 ,$0.00 
19347971,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,44,83735,CPT/HCPCS,ASSAY OF MAGNESIUM,233,Laboratory - Chemistry and hematology,75,483,$204.23 ,$4.64 ,$0.00 ,$204.23 ,$4.64 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19350299,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,14,88341,CPT/HCPCS,IMMUNOHISTO ANTB ADDL SLIDE,234,Pathology,28,145,"$1,932.09 ",$138.00 ,$45.87 ,"$1,932.09 ",$138.00 ,$45.87 ,$0.00 ,$0.00 ,$0.00 
19354067,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,18,99284,CPT/HCPCS,EMERGENCY DEPT VISIT,304,Emergency department services,34,204,"$1,416.71 ",$78.70 ,$65.15 ,"$1,254.83 ",$69.71 ,$57.21 ,$161.88 ,$8.99 ,$0.00 
19358867,2019,19,Carver,MEDICARE,3,45 - 64 years,F,15,76830,CPT/HCPCS,TRANSVAGINAL US NON-OB,197,Ultrasound - Diagnostic (other),26,180,"$2,037.25 ",$135.81 ,$123.54 ,"$1,635.70 ",$109.04 ,$98.76 ,$401.55 ,$26.77 ,$24.78 
19362059,2019,19,Carver,MEDICARE,3,45 - 64 years,M,16,C1769,CPT/HCPCS,GUIDE WIRE,243,DME and supplies,20,164,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19364603,2019,19,Carver,MEDICARE,4,65 - 74 years,F,"1,281",92015,CPT/HCPCS,DETERMINE REFRACTIVE STATE,220,Ophthalmologic/otologic diagnosis and treatment,"1,356","15,352","$14,676.93 ",$11.45 ,$19.39 ,"$14,563.59 ",$11.36 ,$19.39 ,$113.34 ,$0.08 ,$0.00 
19367243,2019,19,Carver,MEDICARE,4,65 - 74 years,M,13,77295,CPT/HCPCS,3-D RADIOTHERAPY PLAN,211,Radiology - Therapeutic,18,137,"$6,983.00 ",$537.15 ,$492.82 ,"$5,899.63 ",$453.81 ,$392.65 ,"$1,083.37 ",$83.33 ,$45.46 
19370507,2019,19,Carver,MEDICARE,5,75 years and older,F,14,77263,CPT/HCPCS,RADIATION THERAPY PLANNING,211,Radiology - Therapeutic,15,162,"$2,521.38 ",$180.09 ,$164.92 ,"$2,153.44 ",$153.81 ,$132.63 ,$367.94 ,$26.28 ,$33.51 
19372403,2019,19,Carver,MEDICARE,5,75 years and older,F,253,Q5001,CPT/HCPCS,HOSPICE/HOME HLTH CARE PT HOME/RES,236,"Non-hospital-based care (home health, hospice)",436,"2,774","$269,235.51 ","$1,064.17 ",$0.00 ,"$269,235.51 ","$1,064.17 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
19374995,2019,19,Carver,MEDICARE,5,75 years and older,M,29,A7039,CPT/HCPCS,FLTR NON DISPBL POS ARWAY PRSS DEVC,243,DME and supplies,37,348,$206.24 ,$7.11 ,$6.07 ,$162.48 ,$5.60 ,$4.84 ,$43.76 ,$1.50 ,$1.23 
19379411,2019,21,Cass,COMMERCIAL,3,45 - 64 years,F,16,82746,CPT/HCPCS,ASSAY OF FOLIC ACID SERUM,233,Laboratory - Chemistry and hematology,17,191,$628.00 ,$39.25 ,$25.26 ,$345.40 ,$21.58 ,$17.93 ,$282.60 ,$17.66 ,$9.69 
19383923,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,18,320,REV,Dx X-Ray,50011,Diagnostic X-ray services,20,209,"$2,145.56 ",$119.19 ,$0.00 ,"$2,145.56 ",$119.19 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19385795,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,17,87077,CPT/HCPCS,CULTURE AEROBIC IDENTIFY,206,"Microscopic examination (e.g., lab, toxicology)",26,201,$238.72 ,$14.04 ,$0.00 ,$238.72 ,$14.04 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19387835,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,50,97162,CPT/HCPCS,PT EVAL MOD COMPLEX 30 MIN,212,Physical/occupational/speech therapy - Diagnostic,58,576,"$3,718.91 ",$74.37 ,$62.37 ,"$3,533.71 ",$70.67 ,$62.14 ,$185.20 ,$3.70 ,$0.00 
19391123,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,15,86704,CPT/HCPCS,HEP B CORE ANTIBODY TOTAL,235,Laboratory - Other,16,171,$40.11 ,$2.67 ,$0.00 ,$40.11 ,$2.67 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19393619,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,39,A0090,CPT/HCPCS,NONEMERG TRNSPRT IND W/VESTED INT,239,"Transportation - Patient, provider, equipment",946,458,"$13,439.36 ",$344.59 ,$94.00 ,"$13,439.36 ",$344.59 ,$94.00 ,$0.00 ,$0.00 ,$0.00 
19399739,2019,21,Cass,MEDICARE,3,45 - 64 years,M,32,483,REV,Echocardiology,50017,Cardiology services,40,320,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19402667,2019,21,Cass,MEDICARE,4,65 - 74 years,F,13,82465,CPT/HCPCS,ASSAY BLD/SERUM CHOLESTEROL,233,Laboratory - Chemistry and hematology,13,156,$468.94 ,$36.07 ,$37.22 ,$468.94 ,$36.07 ,$37.22 ,$0.00 ,$0.00 ,$0.00 
19405739,2019,21,Cass,MEDICARE,4,65 - 74 years,M,25,93308,CPT/HCPCS,TTE F-UP OR LMTD,193,Ultrasound - Heart (echocardiogram) - Diagnostic,39,296,"$2,339.48 ",$93.57 ,$25.89 ,"$1,961.81 ",$78.47 ,$25.40 ,$377.67 ,$15.10 ,$5.18 
19408139,2019,21,Cass,MEDICARE,5,75 years and older,F,310,87086,CPT/HCPCS,URINE CULTURE/COLONY COUNT,206,"Microscopic examination (e.g., lab, toxicology)",627,"3,644","$7,418.37 ",$23.93 ,$0.00 ,"$6,540.03 ",$21.09 ,$0.00 ,$878.34 ,$2.83 ,$0.00 
19410755,2019,21,Cass,MEDICARE,5,75 years and older,M,82,85652,CPT/HCPCS,RBC SED RATE AUTOMATED,233,Laboratory - Chemistry and hematology,133,963,$158.46 ,$1.93 ,$0.00 ,$145.96 ,$1.78 ,$0.00 ,$12.50 ,$0.15 ,$0.00 
19414331,2019,23,Chippewa,COMMERCIAL,2,19 - 44 years,M,137,99213,CPT/HCPCS,OFFICE O/P EST LOW 20-29 MIN,300,Office/outpatient services - Office visits,235,"1,592","$28,909.97 ",$211.02 ,$138.08 ,"$11,106.58 ",$81.06 ,$2.92 ,"$17,803.39 ",$129.95 ,$124.30 
19420427,2019,23,Chippewa,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,15,85610,CPT/HCPCS,PROTHROMBIN TIME,233,Laboratory - Chemistry and hematology,22,154,$526.65 ,$35.11 ,$0.00 ,$526.65 ,$35.11 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19426115,2019,23,Chippewa,MEDICARE,3,45 - 64 years,M,12,420,REV,Physical Therapy,50020,"Physical, occupational, and speech therapy",22,131,$275.59 ,$22.96 ,$0.00 ,$275.59 ,$22.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19430123,2019,23,Chippewa,MEDICARE,4,65 - 74 years,M,16,E1390,CPT/HCPCS,O2 CONC 85%/>02 CONC PRSC FLW RATE,243,DME and supplies,125,187,"$15,021.04 ",$938.81 ,$960.56 ,"$12,337.28 ",$771.08 ,$786.80 ,"$2,683.76 ",$167.73 ,$175.11 
19433195,2019,23,Chippewa,MEDICARE,5,75 years and older,M,80,93306,CPT/HCPCS,TTE W/DOPPLER COMPLETE,193,Ultrasound - Heart (echocardiogram) - Diagnostic,134,944,"$38,227.76 ",$477.84 ,$145.88 ,"$28,437.42 ",$355.46 ,$96.98 ,"$9,790.34 ",$122.37 ,$22.56 
19435643,2019,25,Chisago,COMMERCIAL,1,18 years and under,M,28,74018,CPT/HCPCS,X-RAY EXAM ABDOMEN 1 VIEW,226,Radiology - Diagnostic (other),50,317,"$1,754.30 ",$62.65 ,$35.45 ,"$1,441.43 ",$51.47 ,$23.35 ,$312.87 ,$11.17 ,$0.00 
19438835,2019,25,Chisago,COMMERCIAL,2,19 - 44 years,F,11,J7613,CPT/HCPCS,ALBUTEROL INHAL NON-CP U DOSE 1 MG,240,"Medications (injections, infusions, other forms)",11,129,$12.60 ,$1.14 ,$1.16 ,$7.74 ,$0.70 ,$0.27 ,$4.86 ,$0.44 ,$0.13 
19442291,2019,25,Chisago,COMMERCIAL,3,45 - 64 years,F,31,84075,CPT/HCPCS,ASSAY ALKALINE PHOSPHATASE,233,Laboratory - Chemistry and hematology,49,362,"$1,183.96 ",$38.19 ,$27.05 ,"$1,019.51 ",$32.88 ,$14.10 ,$164.45 ,$5.30 ,$0.00 
19443947,2019,25,Chisago,COMMERCIAL,3,45 - 64 years,M,24,761,REV,Treatment Rm,50026,Other Services,30,268,"$29,175.98 ","$1,215.66 ",$4.01 ,"$29,175.98 ","$1,215.66 ",$4.01 ,$0.00 ,$0.00 ,$0.00 
19446347,2019,25,Chisago,COMMERCIAL,3,45 - 64 years,M,30,L4361,CPT/HCPCS,WALKING BOOT PNEUMATIC AND/OR VAC,243,DME and supplies,31,360,"$8,120.59 ",$270.68 ,$253.78 ,"$4,808.84 ",$160.29 ,$218.80 ,"$3,311.75 ",$110.39 ,$39.10 
19450619,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,12,29125,CPT/HCPCS,APPLY FOREARM SPLINT,214,"Wound care - Traction, splints, other",13,142,"$2,332.63 ",$194.38 ,$146.39 ,"$2,332.63 ",$194.38 ,$146.39 ,$0.00 ,$0.00 ,$0.00 
19453955,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,31,59426,CPT/HCPCS,ANTEPARTUM CARE ONLY,141,Obstetrical procedures - Therapeutic (other),31,323,"$18,789.94 ",$606.12 ,$656.68 ,"$18,783.94 ",$605.93 ,$656.68 ,$6.00 ,$0.19 ,$0.00 
19456811,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,14,86850,CPT/HCPCS,RBC ANTIBODY SCREEN,235,Laboratory - Other,15,155,$156.36 ,$11.16 ,$9.76 ,$156.36 ,$11.16 ,$9.76 ,$0.00 ,$0.00 ,$0.00 
19460219,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,45,S5170,CPT/HCPCS,HOME DEL MEALS INCL PREP; MEAL,236,"Non-hospital-based care (home health, hospice)","8,591",523,"$55,935.98 ","$1,243.02 ","$1,168.87 ","$55,913.58 ","$1,242.52 ","$1,168.87 ",$22.40 ,$0.49 ,$0.00 
19466051,2019,25,Chisago,MEDICARE,2,19 - 44 years,M,51,90686,CPT/HCPCS,IIV4 VACC NO PRSV 0.5 ML IM,228,Prophylactic vaccinations and inoculations,65,612,$909.84 ,$17.84 ,$18.65 ,$909.84 ,$17.84 ,$18.65 ,$0.00 ,$0.00 ,$0.00 
19469819,2019,25,Chisago,MEDICARE,3,45 - 64 years,M,11,84165,CPT/HCPCS,PROTEIN E-PHORESIS SERUM,233,Laboratory - Chemistry and hematology,19,124,$315.06 ,$28.64 ,$18.46 ,$281.65 ,$25.60 ,$14.75 ,$33.41 ,$3.03 ,$0.00 
19472699,2019,25,Chisago,MEDICARE,4,65 - 74 years,F,55,86900,CPT/HCPCS,BLOOD TYPING SEROLOGIC ABO,235,Laboratory - Other,97,658,$148.60 ,$2.70 ,$0.00 ,$148.60 ,$2.70 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19476083,2019,25,Chisago,MEDICARE,4,65 - 74 years,M,656,92015,CPT/HCPCS,DETERMINE REFRACTIVE STATE,220,Ophthalmologic/otologic diagnosis and treatment,697,"7,853","$8,251.48 ",$12.57 ,$19.44 ,"$8,167.62 ",$12.45 ,$19.39 ,$83.86 ,$0.12 ,$0.00 
19479179,2019,25,Chisago,MEDICARE,5,75 years and older,F,13,92611,CPT/HCPCS,MOTION FLUOROSCOPY/SWALLOW,31,"Nose, mouth, pharynx procedures - Diagnostic",14,156,$633.63 ,$48.74 ,$0.00 ,$514.33 ,$39.56 ,$0.00 ,$119.30 ,$9.17 ,$0.00 
19481771,2019,25,Chisago,MEDICARE,5,75 years and older,M,22,82150,CPT/HCPCS,ASSAY OF AMYLASE,233,Laboratory - Chemistry and hematology,44,254,$228.85 ,$10.40 ,$7.06 ,$228.85 ,$10.40 ,$7.06 ,$0.00 ,$0.00 ,$0.00 
19484891,2019,27,Clay,COMMERCIAL,1,18 years and under,M,575,90686,CPT/HCPCS,IIV4 VACC NO PRSV 0.5 ML IM,228,Prophylactic vaccinations and inoculations,599,"6,516","$11,233.90 ",$19.53 ,$19.25 ,"$11,233.90 ",$19.53 ,$19.25 ,$0.00 ,$0.00 ,$0.00 
19489283,2019,27,Clay,COMMERCIAL,3,45 - 64 years,F,19,82784,CPT/HCPCS,ASSAY IGA/IGD/IGG/IGM EACH,233,Laboratory - Chemistry and hematology,29,226,"$1,466.61 ",$77.19 ,$50.53 ,"$1,266.18 ",$66.64 ,$27.15 ,$200.43 ,$10.54 ,$0.00 
